,index,yr_released,report_year,race_ethnicity,age_released,crime_class,crime_type,crime_subtype,release_type,super_dist,recidivist,target_pop,sex,felony,max_sentence,crime_types_combined,crime_class_type_subtype
0,0,2010,2013,Black,1,C Felony,Violent,Robbery,Parole,7JD,1,1,0,1,10.0,Violent_Robbery,C Felony_Violent_Robbery
1,1,2010,2013,White,1,D Felony,Property,Theft,Discharged – End of Sentence,unknown,1,0,0,1,5.0,Property_Theft,D Felony_Property_Theft
2,2,2010,2013,White,2,B Felony,Drug,Trafficking,Parole,5JD,1,1,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
3,3,2010,2013,White,1,B Felony,Other,Other Criminal,Parole,6JD,0,1,0,1,50.0,Other_Other Criminal,B Felony_Other_Other Criminal
4,4,2010,2013,Black,2,D Felony,Violent,Assault,Discharged – End of Sentence,unknown,1,0,0,1,5.0,Violent_Assault,D Felony_Violent_Assault
5,5,2010,2013,White,1,C Felony,Drug,Trafficking,Parole,4JD,0,1,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
6,6,2010,2013,White,1,C Felony,Drug,Trafficking,Parole,4JD,0,1,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
7,7,2010,2013,Black,2,D Felony,Public Order,OWI,Parole,6JD,1,1,0,1,5.0,Public Order_OWI,D Felony_Public Order_OWI
8,8,2010,2013,White,1,Felony - Enhanced,Property,Forgery/Fraud,Parole,7JD,0,1,0,1,10.0,Property_Forgery/Fraud,Felony - Enhanced_Property_Forgery/Fraud
9,9,2010,2013,Black,1,C Felony,Violent,Other Violent,Parole,1JD,1,1,0,1,10.0,Violent_Other Violent,C Felony_Violent_Other Violent
10,10,2010,2013,White,1,C Felony,Drug,Trafficking,Parole,3JD,1,1,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
11,11,2010,2013,White,1,C Felony,Drug,Trafficking,Parole,1JD,1,1,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
12,12,2010,2013,Black,2,D Felony,Drug,Drug Possession,Parole,8JD,1,1,0,1,5.0,Drug_Drug Possession,D Felony_Drug_Drug Possession
13,13,2010,2013,White,3,D Felony,Drug,Other Drug,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Drug_Other Drug,D Felony_Drug_Other Drug
14,14,2010,2013,White,3,D Felony,Drug,Other Drug,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Drug_Other Drug,D Felony_Drug_Other Drug
15,15,2010,2013,Black,0,C Felony,Property,Burglary,Parole,1JD,0,1,0,1,10.0,Property_Burglary,C Felony_Property_Burglary
16,16,2010,2013,White,0,D Felony,Public Order,OWI,Discharged – End of Sentence,unknown,1,0,0,1,5.0,Public Order_OWI,D Felony_Public Order_OWI
17,17,2010,2013,White,2,D Felony,Property,Theft,Parole,7JD,1,1,1,1,5.0,Property_Theft,D Felony_Property_Theft
18,18,2010,2013,Black,1,C Felony,Violent,Sex,Discharged – End of Sentence,unknown,0,0,1,1,10.0,Violent_Sex,C Felony_Violent_Sex
19,19,2010,2013,Black,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
20,20,2010,2013,Black,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
21,21,2010,2013,White,2,D Felony,Violent,Assault,Parole,6JD,0,1,0,1,5.0,Violent_Assault,D Felony_Violent_Assault
22,22,2010,2013,White,2,D Felony,Violent,Assault,Parole,6JD,0,1,0,1,5.0,Violent_Assault,D Felony_Violent_Assault
23,23,2010,2013,Black,0,D Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Drug_Trafficking,D Felony_Drug_Trafficking
24,24,2010,2013,Black,0,D Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Drug_Trafficking,D Felony_Drug_Trafficking
