Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Release Type,Main Supervising District,Recidivism - Return to Prison,Days to Recidivism,New Conviction Offense Classification,New Conviction Offense Type,New Conviction Offense Sub Type,Part of Target Population,Recidivism Type,Sex
2010,2013,Black - Non-Hispanic,25-34,C Felony,Violent,Robbery,Parole,7JD,Yes,433,C Felony,Drug,Trafficking,Yes,New,Male
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Theft,Discharged – End of Sentence,,Yes,453,,,,No,Tech,Male
2010,2013,White - Non-Hispanic,35-44,B Felony,Drug,Trafficking,Parole,5JD,Yes,832,,,,Yes,Tech,Male
2010,2013,White - Non-Hispanic,25-34,B Felony,Other,Other Criminal,Parole,6JD,No,,,,,Yes,No Recidivism,Male
2010,2013,Black - Non-Hispanic,35-44,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,116,,,,No,Tech,Male
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,4JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,4JD,No,,,,,Yes,No Recidivism,Male
2010,2013,Black - Non-Hispanic,35-44,D Felony,Public Order,OWI,Parole,6JD,Yes,84,,,,Yes,Tech,Male
2010,2013,White - Non-Hispanic,25-34,Felony - Enhanced,Property,Forgery/Fraud,Parole,7JD,No,,,,,Yes,No Recidivism,Male
2010,2013,Black - Non-Hispanic,25-34,C Felony,Violent,Other Violent,Parole,1JD,Yes,274,,,,Yes,Tech,Male
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,3JD,Yes,165,D Felony,Drug,Other Drug,Yes,New,Male
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,1JD,Yes,249,,,,Yes,Tech,Male
2010,2013,Black - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole,8JD,Yes,1001,Aggravated Misdemeanor,Public Order,Traffic,Yes,New,Male
2010,2013,White - Non-Hispanic,45-54,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,45-54,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,Black - Non-Hispanic,Under 25,C Felony,Property,Burglary,Parole,1JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,Under 25,D Felony,Public Order,OWI,Discharged – End of Sentence,,Yes,763,Serious Misdemeanor,Violent,Assault,No,New,Male
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Theft,Parole,7JD,Yes,598,,,,Yes,Tech,Female
2010,2013,Black - Non-Hispanic,25-34,C Felony,Violent,Sex,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
2010,2013,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Parole,6JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Parole,6JD,No,,,,,Yes,No Recidivism,Male
2010,2013,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,6JD,Yes,399,D Felony,Drug,Trafficking,Yes,New,Male
2010,2013,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Forgery/Fraud,Parole,1JD,No,,,,,Yes,No Recidivism,Female
2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Property,Theft,Parole,2JD,No,,,,,Yes,No Recidivism,Male
2010,2013,American Indian or Alaska Native - Non-Hispanic,25-34,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole,5JD,Yes,497,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,New,Male
2010,2013,White - Non-Hispanic,25-34,Felony - Enhanced,Property,Theft,Parole,8JD,Yes,147,,,,Yes,Tech,Male
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Theft,Parole,5JD,Yes,263,Serious Misdemeanor,Public Order,Flight/Escape,Yes,New,Male
2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,467,D Felony,Property,Burglary,No,New,Male
2010,2013,Black - Non-Hispanic,25-34,C Felony,Property,Burglary,Parole,7JD,Yes,160,,,,Yes,Tech,Male
2010,2013,Black - Non-Hispanic,35-44,D Felony,Property,Burglary,Parole,6JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,55 and Older,C Felony,Property,Theft,Parole,1JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,D Felony,Public Order,Traffic,Parole,8JD,No,,,,,Yes,No Recidivism,Male
2010,2013,Black - Non-Hispanic,55 and Older,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,4JD,Yes,314,,,,Yes,Tech,Male
2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Alcohol,Parole,2JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Alcohol,Parole,2JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,45-54,Felony - Enhanced,Drug,Trafficking,Parole,7JD,Yes,898,Aggravated Misdemeanor,Violent,Assault,Yes,New,Female
2010,2013,American Indian or Alaska Native - Non-Hispanic,25-34,C Felony,Violent,Sex,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,C Felony,Property,Theft,Discharged – End of Sentence,,Yes,212,Serious Misdemeanor,Violent,Assault,No,New,Male
2010,2013,American Indian or Alaska Native - Non-Hispanic,45-54,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
2010,2013,White - Non-Hispanic,Under 25,C Felony,Property,Burglary,Parole,6JD,Yes,166,,,,Yes,Tech,Male
2010,2013,White - Non-Hispanic,25-34,C Felony,Violent,Robbery,Parole,4JD,Yes,653,D Felony,Property,Forgery/Fraud,Yes,New,Male
2010,2013,Black - Non-Hispanic,25-34,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,,,,,Yes,No Recidivism,Male
2010,2013,Black - Non-Hispanic,25-34,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,D Felony,Public Order,Traffic,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,D Felony,Public Order,Traffic,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,D Felony,Public Order,Traffic,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,Felony - Enhanced,Property,Theft,Parole,2JD,Yes,582,Felony - Enhancement to Original Penalty,Other,Other Criminal,No,New,Male
2010,2013,American Indian or Alaska Native - Hispanic,35-44,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,7JD,No,,,,,Yes,No Recidivism,Female
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,7JD,No,,,,,Yes,No Recidivism,Female
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,7JD,No,,,,,Yes,No Recidivism,Female
2010,2013,White - Non-Hispanic,25-34,B Felony,Other,Other Criminal,Parole,4JD,Yes,629,,,,Yes,Tech,Female
2010,2013,Black - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,1JD,Yes,796,Aggravated Misdemeanor,Property,Theft,Yes,New,Male
2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,272,Aggravated Misdemeanor,Public Order,Traffic,No,New,Male
2010,2013,Asian or Pacific Islander - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Vandalism,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,Black - Non-Hispanic,55 and Older,C Felony,Drug,Trafficking,Parole,2JD,Yes,455,Aggravated Misdemeanor,Violent,Assault,Yes,New,Male
2010,2013,White - Hispanic,35-44,C Felony,Violent,Robbery,Parole,8JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,55 and Older,B Felony,Violent,Sex,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,Parole,4JD,No,,,,,Yes,No Recidivism,Female
2010,2013,White - Non-Hispanic,Under 25,C Felony,Drug,Other Drug,Parole,1JD,No,,,,,Yes,No Recidivism,Male
2010,2013,Black - Non-Hispanic,35-44,D Felony,Violent,Other Violent,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,45-54,D Felony,Public Order,Weapons,Parole,1JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Parole,1JD,No,,,,,Yes,No Recidivism,Male
