,yr_released,report_year,race_ethnicity,age_released,crime_class,crime_type,crime_subtype,release_type,super_dist,recidivist,target_pop,sex,crime_class_map,race_ethnicity_map,release_type_map,recidivist_map,target_pop_map,sex_map,age_released_map
0,2010,2013,Black - Non-Hispanic,25-34,C Felony,Violent,Robbery,Parole,7JD,Yes,Yes,Male,C Felony,Black,Paroled,1,1,0,1
1,2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Theft,Discharged – End of Sentence,unknown,Yes,No,Male,D Felony,White,Discharged - End of Sentence,1,0,0,1
2,2010,2013,White - Non-Hispanic,35-44,B Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male,B Felony,White,Paroled,1,1,0,2
3,2010,2013,White - Non-Hispanic,25-34,B Felony,Other,Other Criminal,Parole,6JD,No,Yes,Male,B Felony,White,Paroled,0,1,0,1
4,2010,2013,Black - Non-Hispanic,35-44,D Felony,Violent,Assault,Discharged – End of Sentence,unknown,Yes,No,Male,D Felony,Black,Discharged - End of Sentence,1,0,0,2
5,2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,4JD,No,Yes,Male,C Felony,White,Paroled,0,1,0,1
6,2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,4JD,No,Yes,Male,C Felony,White,Paroled,0,1,0,1
7,2010,2013,Black - Non-Hispanic,35-44,D Felony,Public Order,OWI,Parole,6JD,Yes,Yes,Male,D Felony,Black,Paroled,1,1,0,2
8,2010,2013,White - Non-Hispanic,25-34,Felony - Enhanced,Property,Forgery/Fraud,Parole,7JD,No,Yes,Male,Felony - Enhanced,White,Paroled,0,1,0,1
9,2010,2013,Black - Non-Hispanic,25-34,C Felony,Violent,Other Violent,Parole,1JD,Yes,Yes,Male,C Felony,Black,Paroled,1,1,0,1
10,2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,3JD,Yes,Yes,Male,C Felony,White,Paroled,1,1,0,1
11,2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,1JD,Yes,Yes,Male,C Felony,White,Paroled,1,1,0,1
12,2010,2013,Black - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole,8JD,Yes,Yes,Male,D Felony,Black,Paroled,1,1,0,2
13,2010,2013,White - Non-Hispanic,45-54,D Felony,Drug,Other Drug,Discharged – End of Sentence,unknown,No,No,Male,D Felony,White,Discharged - End of Sentence,0,0,0,3
